Simple site,Unnamed: 0,Avg. Flood Depth when Flooded (ft),90th Percentile Flood Depth when Flooded (ft),10th Percentile Flood Depth when Flooded (ft),Std. Deviation Flood Depth when Flooded 
CRMS0293,23.0,0.0950637875246549,0.358000000000166,0.0,0.2280580079888608
CRMS0294,24.0,0.2026841328057159,0.5899999999984515,0.0,0.2459733596054188
CRMS0296,25.0,0.2647607560595995,0.679999999999233,0.0,0.3124044677930916
CRMS0301,26.0,0.243359851014935,0.6399999999995231,0.0,0.3072788463041225
CRMS0302,27.0,0.266351804658331,0.8369999999995839,0.0,0.3922696761870011
CRMS0303,28.0,0.1432081208443638,0.5179999999980415,0.0,0.3160066831702048
CRMS0305,29.0,0.101180105363286,0.4000000000009421,0.0,0.251867450453358
CRMS0307,30.0,0.311678198155063,0.8640000000011548,0.0,0.3924622803388318
CRMS0309,31.0,0.1342929812561858,0.4990000000013799,0.0,0.2629581837828058
CRMS0310,32.0,0.4085922089346208,1.0311999999983246,0.0,0.4635484934915381
CRMS0311,33.0,0.3230560107564427,0.8940000000002212,0.0,0.4128545268249582
CRMS0312,34.0,0.1844999004321285,0.5559999999988912,0.0,0.3143052830382068
CRMS0315,17.5,0.289233816078164,0.8790000000000284,0.0,0.42590502004437547
CRMS0318,1.0,0.4991818412779096,1.2290000000013637,0.0,0.5299562140863595
CRMS0319,2.0,0.3342304362112862,0.9100000000024197,0.0,0.4298522091794421
CRMS0322,3.0,0.1868772191632794,0.5860000000002549,0.0,0.3007837235876702
CRMS0324,4.0,0.4898810511426849,1.2650000000020256,0.0,0.5462024876667316
CRMS0326,5.0,0.1614844846339237,0.5460000000009129,0.0,0.2904191183400951
CRMS0327,6.0,0.2010628293297786,0.5299999999993229,0.0,0.2443244445531409
CRMS0329,7.0,0.2936084961813912,0.8000000000016261,0.0,0.3732566540340558
CRMS0331,8.0,0.1644999436122086,0.4100000000007685,0.0,0.1825350963555128
CRMS0332,9.0,0.1087413411562611,0.411999999998705,0.0,0.2560291015502582
CRMS0335,10.0,0.4333259142632242,1.0599999999984735,0.0,0.45564102408388
CRMS0336,11.0,0.3104405214769478,0.89699999999818,0.0,0.4284752534094023
CRMS0337,12.0,0.2967668452385549,0.8800000000013557,0.0,0.4265595573965307
CRMS0338,13.0,0.469664959629479,1.1700000000003346,0.0,0.5198930576077345
CRMS0341,14.0,0.3722123733183786,1.035000000002598,0.0,0.4726003470113418
CRMS0345,15.0,0.3955848496745831,1.0559999999985836,0.0,0.4766319126846831
CRMS0347,16.0,0.3281097666315816,0.9299999999967252,0.0,0.4338789002013584
CRMS0354,17.0,0.212182153359308,0.6760000000015502,0.0,0.3264857688577048
CRMS0355,18.0,0.1754070601962803,0.6140000000010329,0.0,0.3284150714360841
CRMS0365,19.0,0.1901561434743817,0.4190000000009251,0.0,0.1760483314774588
CRMS0367,20.0,0.2438917802894519,0.6499999999976647,0.0,0.2965350342840974
