Simple site,Distance_to_Water_m
CRMS0648,3401.161057719890
CRMS0650,1317.4547345980900
CRMS0651,535.3568660264270
CRMS0655,1610.8415007273500
CRMS0656,1012.6653512062300
CRMS0658,670.0604346057330
CRMS0660,801.3688930991080
CRMS0661,4395.63035230923
CRMS0662,2697.259172427770
CRMS0663,2440.3709995162100
CRMS0665,1394.766925463330
CRMS0669,1560.536978704870
CRMS0672,990.7242381548230
CRMS0677,4564.655757772600
CRMS0680,50.404803524039100
CRMS0682,6501.542024228270
CRMS0683,1854.689961165600
CRMS0684,474.1137478572930
CRMS0685,294.809935308734
CRMS0687,427.7977784440720
CRMS0691,2242.838710256820
CRMS0693,2276.7452464681700
CRMS0694,1467.1542046214000
CRMS0697,3574.597395701830
CRMS0978,1299.3029193146300
CRMS1024,0.0
CRMS1069,0.0
CRMS1100,1286.7401739250600
CRMS1130,1339.1375310632
CRMS1205,2585.1041415419800
CRMS1277,3907.613573287320
CRMS1409,7117.571641503210
CRMS1413,4987.788700600320
CRMS1446,0.0
CRMS1650,3132.332794088540
CRMS1738,1053.3224145954400
CRMS1743,437.01678100922200
CRMS1838,3894.9849150494700
CRMS1858,5067.237476312210
CRMS1965,68.98392868970880
CRMS2041,596.4409170889650
CRMS2154,1620.5365006517600
CRMS2156,407.37490716332600
CRMS2166,3923.419768315280
CRMS2189,105.01513846211200
CRMS2219,718.4899974171430
CRMS2334,2800.085643738590
CRMS2418,0.0
CRMS2493,5742.9552001516
CRMS2568,5487.704824734240
CRMS2608,1209.9677785759800
CRMS2614,501.36841304843400
CRMS2627,2817.3884937842100
CRMS2634,1872.523974880240
CRMS2825,3154.4509811455600
CRMS2830,199.19486425665800
CRMS2854,845.6921331772350
CRMS3054,519.2107708625510
CRMS3136,205.268595112994
CRMS3166,2773.3547685787600
CRMS3169,3383.2381111244700
CRMS3296,0.0
CRMS3565,0.0
CRMS3590,952.5032832462770
CRMS3601,538.8468866871670
CRMS3617,0.0
CRMS3626,824.9779477676480
CRMS3639,3114.024426673650
CRMS3641,2484.1600268556900
CRMS3650,1295.121323426660
CRMS3664,1174.7893466642700
CRMS3667,719.456808468518
CRMS3680,2241.15109601043
CRMS3784,206.6789957698060
CRMS3800,924.9372193452320
CRMS3913,1707.995774746410
CRMS3985,2566.230603982810
CRMS4014,3609.6305745785400
CRMS4016,3931.2172011982300
CRMS4045,3540.6571057084800
CRMS4094,875.2958873278420
CRMS4103,2562.033863735840
CRMS4107,2141.4510460394400
CRMS4110,2763.248868005450
CRMS4218,0.0
CRMS4245,716.3269475155810
CRMS4355,3000.601457681310
CRMS4406,2366.9270684428900
CRMS4407,4164.761816211620
CRMS4448,2667.3771132910600
CRMS4455,0.0
CRMS4529,51.44937527504160
CRMS4548,0.0
CRMS4551,501.43418791130400
CRMS4557,1198.3393802128300
CRMS4572,1180.0985575896100
CRMS4596,0.0
CRMS4626,0.0
CRMS4690,0.0
CRMS4779,4497.634410734700
CRMS4782,4532.571776087480
CRMS4808,1828.3778794334600
CRMS4809,1718.7757842149800
CRMS4900,834.0857624378390
CRMS4938,5563.878800762590
CRMS5035,3936.625990177730
CRMS5116,7372.547963222680
CRMS5167,11180.440790479200
CRMS5255,573.6522307272940
CRMS5267,3248.547753172090
CRMS5373,4998.992036565060
CRMS5414,4628.6162162674700
CRMS5452,4312.686960653060
CRMS5770,17159.233509517200
CRMS5845,8556.525450399470
CRMS6038,5631.96216978248
CRMS6042,3708.140750185730
CRMS6088,14685.797385685700
CRMS6090,15901.593047608500
CRMS6209,1249.660127849140
CRMS6299,105.74687959690200
CRMS6301,386.6664653470220
CRMS6302,339.30674705190500
CRMS6303,593.2628319786510
CRMS6304,684.7610940937180
CRMS0058,
CRMS0089,
CRMS0090,
CRMS0184,
CRMS0188,
CRMS0189,
CRMS0192,
CRMS0211,
CRMS0218,
CRMS0219,
CRMS0241,
CRMS0268,
CRMS0273,
CRMS0278,
CRMS0290,
CRMS0294,
CRMS0296,
CRMS0301,
CRMS0327,
CRMS0329,
CRMS0331,
CRMS0365,
CRMS0367,
CRMS0371,
CRMS0381,
CRMS0382,
CRMS0409,
CRMS0411,
CRMS0414,
CRMS0484,
CRMS0528,
CRMS2785,
CRMS2862,
CRMS2881,
CRMS2887,
CRMS2939,
CRMS2991,
CRMS5003,
CRMS5536,
CRMS5672,
CRMS5992,
CRMS6008,
CRMS0151,
CRMS0510,
CRMS0518,
CRMS0525,
CRMS0539,
CRMS1770,
CRMS5858,
LA39-Y2D,
